Base Address,Peripheral Name,Offset,Register Name,Width (In bits),Access
0x40065000,PCC,0x80,PCC_FTFC,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x84,PCC_DMAMUX,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x90,PCC_FlexCAN0,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x94,PCC_FlexCAN1,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x98,PCC_FTM3,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x9C,PCC_ADC1,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0xAC,PCC_FlexCAN2,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0xB0,PCC_LPSPI0,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0xB4,PCC_LPSPI1,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0xB8,PCC_LPSPI2,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0xC4,PCC_PDB1,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0xC8,PCC_CRC,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0xD8,PCC_PDB0,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0xDC,PCC_LPIT,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0xE0,PCC_FTM0,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0xE4,PCC_FTM1,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0xE8,PCC_FTM2,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0xEC,PCC_ADC0,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0xF4,PCC_RTC,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x100,PCC_LPTMR0,32,RW
,,,PCD,3,RW
,,,FRAC,1,RW
,,,-,20,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x124,PCC_PORTA,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x128,PCC_PORTB,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x12C,PCC_PORTC,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x130,PCC_PORTD,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x134,PCC_PORTE,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x150,PCC_SAI0,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x154,PCC_SAI1,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x168,PCC_FlexIO,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x184,PCC_EWM,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x198,PCC_LPI2C0,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x19C,PCC_LPI2C1,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x1A8,PCC_LPUART0,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x1AC,PCC_LPUART1,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x1B0,PCC_LPUART2,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x1B8,PCC_FTM4,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x1BC,PCC_FTM5,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x1C0,PCC_FTM6,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x1C4,PCC_FTM7,32,RW
,,,-,24,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x1CC,PCC_CMP0,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x1D8,PCC_QSPI,32,RW
,,,-,30,-
,,,CGC,1,RW
,,,PR,1,RO
,,0x1E4,PCC_ENET,32,RW
,,,PCD,3,RW
,,,FRAC,1,RW
,,,-,20,-
,,,PCS,3,RW
,,,-,3,-
,,,CGC,1,RW
,,,PR,1,RO
0x40049000,PORT,0x0,PORT_PCR,32,RW
,,,PS,1,RW
,,,PE,1,RW
,,,-,2,-
,,,PFE,1,RW
,,,-,1,-
,,,DSE,1,RW
,,,-,1,-
,,,MUX,3,RW
,,,-,4,-
,,,LK,1,RW
,,,IRQC,4,RW
,,,-,4,-
,,,ISF,1,RW
,,,-,7,-
,,0x80,PORT_GPCLR,32,RW
,,,GPWD,16,RW
,,,GPWE,16,RW
,,0x84,PORT_GPCHR,32,RW
,,,GPWD,16,RW
,,,GPWE,16,RW
,,0x88,PORT_GICLR,32,RW
,,,GIWE,16,RW
,,,GIWD,16,RW
,,0x8C,PORT_GICHR,32,RW
,,,GIWE,16,RW
,,,GIWD,16,RW
,,0xA0,PORT_ISFR,32,RW
,,,ISF,32,RW
,,0xC0,PORT_DFER,32,RW
,,,DEF,32,RW
,,0xC4,PORT_DFCR,32,RW
,,,CS,1,RW
,,,-,31,-
,,0xC8,PORT_DFWR,32,RW
,,,FILT,5,RW
,,,-,27,-
0x400FF000,GPIO,0x0,PDOR,32,RW
,,,PDO,32,RW
,,0x4,PSOR,32,RW
,,,PTSO,32,RW
,,0x8,PCOR,32,RW
,,,PTCO,32,RW
,,0xC,PTOR,32,RW
,,,PTTO,32,RW
,,0x10,PDIR,32,RO
,,,PDI,32,RO
,,0x14,PDDR,32,RW
,,,PDD,32,RW
,,0x18,PIDR,32,RW
,,,PID,32,RW
